Actions,Action Reasoning,
's 2',Cluster 2 has the potential to contain an embedded valid unit within its components: it currently has too much waveform variaiblity to be excepted as a single unit.,
's 2',Cluster 2 has the potential to contain an embedded valid unit within its components: it currently has too much waveform variaiblity to be excepted as a single unit.,
's 2',Cluster 2 has the potential to contain an embedded valid unit within its components: it currently has too much waveform variaiblity to be excepted as a single unit.,
'm 0 36',Cluster 36 is unlikely to contain a valid unit. The waveform variaiblity is too high and the number of spikes is too low.,
m 0 47',Cluster 47 is unlikely to contain a valid unit. The waveform variaiblity is too high and the number of spikes is too low.,
's 2',Cluster 2 has the potential to contain an embedded valid unit within its components: it currently has too much waveform variaiblity to be excepted as a single unit.,
's 2',Cluster 2 has the potential to contain an embedded valid unit within its components: it currently has too much waveform variaiblity to be excepted as a single unit.,
's 3',Cluster 3 has the potential to contain an embedded valid unit within its components: it currently has too much waveform variaiblity to be excepted as a single unit.,
'm 2 3',Cluster 2 and 3 share sufficient waveform similarities in shape and amplitude.,
'm 2 13',Cluster 2 and 13 share sufficient waveform similarities in shape and amplitude.,
'm 2 8',Cluster 2 and 8 share sufficient waveform similarities in shape and amplitude.,
'm 2 26',Cluster 2 and 26 share sufficient waveform similarities in shape and amplitude.,
'm 0 7',Cluster 7 has its positive maximum too late compared to any remaining possible unit that it could be merged with.,
m 2 109',Cluster 2 and 109 share sufficient waveform similarities in shape and amplitude.,
'm 38 41',Cluster 38 and 41 share sufficient waveform similarities in shape and amplitude.,
