Actions,Action Reasoning
's 4','Cluster 4 waveforms have too much variability throughout; Cluster 4 waveforms contain multiple families of spikes down the hierarchy.'
'm 0 146','Cluster 146 has too few spikes with too few similarities with other waveforms.'
'm 0 219','Cluster 219 has too few spikes with too few similarities with other waveforms.'
'm 0 148','Cluster 148 has too few spikes with too few similarities with other waveforms.'
'm 0 130','Cluster 30 has too few spikes with too few similarities with other waveforms.'
's 6','Cluster 6 waveforms have too much variability throughout; Cluster 6 waveforms contain multiple families of spikes down the hierarchy.'
's 6','Cluster 6 waveforms have too much variability throughout; Cluster 6 waveforms contain multiple families of spikes down the hierarchy.'
'm 0 98','Cluster 98 has too few spikes with too few similarities with other waveforms.'
'm 0 150','Cluster 150 waveforms contain too much noise around sample 30 - 35.'
's 6','Cluster 6 waveforms have too much variability throughout; Cluster 6 waveforms contain multiple families of spikes down the hierarchy.'
's 6','Cluster 6 waveforms have too much variability throughout; Cluster 6 waveforms contain multiple families of spikes down the hierarchy.'
'm 0 167','Cluster 167 has more than 3 phases.'
'm 0 142','Cluster 142 has too much variability throughout waveform for how few spikes it has.'
's 6','Cluster 6 waveforms have too much variability throughout; Cluster 6 waveforms contain multiple families of spikes down the hierarchy.'
's 6','Cluster 6 waveforms have too much variability throughout; Cluster 6 waveforms contain multiple families of spikes down the hierarchy.'
'm 0 71','Cluster 71 waveforms have too much variability throughout for too few spikes.'
'm 0 88','Cluster 88 has too much variability throughout for too few spikes.'
's 6','Cluster 6 waveforms have too much variability throughout; Cluster 6 waveforms contain multiple families of spikes down the hierarchy.'
's 6','Cluster 6 waveforms have too much variability throughout; Cluster 6 waveforms contain multiple families of spikes down the hierarchy.'
'm 0 120','Cluster 120 has too few spikes and is not similar enough to any other cluster''s waveforms.'
's 15','Cluster 15 waveforms have too much variability throughout; Cluster 15 waveforms contain multiple families of spikes down the hierarchy.'
's 15','Cluster 15 waveforms have too much variability throughout; Cluster 15 waveforms contain multiple families of spikes down the hierarchy.'
'm 0 83','Cluster 83 has too much variability throughout for too few spikes.'
'm 0 70','Cluster 70 has too few spikes and is not similar enough to other cluster''s waveforms.'
's 15','Cluster 15 waveforms have too much variability throughout; Cluster 15 waveforms contain multiple families of spikes down the hierarchy.'
'm 0 27','Cluster 27 has too much variability for too few waveforms; Cluster 27 does not resemble other clusters.'
'm 0 6','Cluster 6 has too much variability for too few waveforms; Cluster 6 does not resemble other clusters.'
