Action,Cluster IDs,Reason,Phase
KEEP,115,"VLM: Waveforms show a consistent, clean biphasic neuronal shape with a sharp negative trough and smooth repolarization, without extra phases or irregular bumps. The ISI histogram shows very few refractory violations (~0.6%) and no evidence of multiple units, and the aggregation tree of 3 overclusters does not indicate clearly separable waveform families.",Phase1_Iter6
KEEP,107,"VLM: Waveforms are clearly neuronal with a consistent biphasic/triphasic shape, sharp negative trough, and smooth return to baseline without extra phases. The overlay shows a single waveform family with modest spread, and the ISI histogram has no refractory period violations, indicating a clean single unit without evidence for further splitting.",Phase1_Iter5
KEEP,124,"VLM: Waveforms show a consistent, sharp biphasic extracellular spike with stable baseline and no extra phases, indicating a clear neuronal shape. The ISI histogram has moderate but not extreme refractory violations without a bimodal structure, and the aggregation tree is simple, suggesting a single reasonably homogeneous unit rather than multiple distinct subclusters.",Phase1_Iter4
DISCARD,105,"VLM: The average waveform lacks a clear return to baseline, instead showing a broad, triangular V-shaped profile with large DC offset at the beginning and end of the window, which is not a standard biphasic/triphasic extracellular spike. This morphology suggests non-neuronal or artifact-like activity rather than a well-formed action potential, so the cluster should be discarded regardless of ISI structure.",Phase1_Iter3
DISCARD,176,"VLM: The waveform morphology is not a standard extracellular spike: it shows more than three distinct phases with a prolonged oscillatory pattern (negative–positive–negative–positive) and does not smoothly return to baseline. This complex, multi-phasic shape violates the neuronal shape criteria despite the clean ISI histogram.",Phase1_Iter2
MERGE,"77,1","VLM: Cluster 77 shows a clean, biphasic neuronal waveform with consistent morphology and no excessive noise, so it is a valid small cluster. Its waveform shape, timing, and amplitude closely match those of Cluster 1. After merging, the ISI histogram shows a modest refractory violation rate (~2.8%), which is acceptable, supporting that they represent the same unit.",Phase2
MERGE,"118,1","VLM: Cluster 118 waveforms show a clean, biphasic neuronal shape with consistent timing and amplitude, and are very similar in morphology and temporal profile to those of Cluster 1. The main negative trough and subsequent positive phase align well between clusters, suggesting the same unit. The merged ISI histogram shows a modest refractory violation rate (~2.8%), which is acceptable, supporting a merge decision.",Phase2
DISCARD,86,VLM: No compatible merge target (all returned NOT_MERGE),Phase2
DISCARD,68,VLM: No compatible merge target (all returned NOT_MERGE),Phase2
MERGE,"55,1","VLM: Cluster 55 shows a consistent, clear biphasic spike shape with a sharp negative trough and smooth repolarization, indicating a valid neuronal waveform. Its waveform morphology, timing, and amplitude profile closely match Cluster 1. The merged ISI histogram shows a modest (~3%) refractory violation rate that remains within an acceptable range for a single unit of this size.",Phase2
MERGE,"70,1","VLM: Cluster 70 waveforms are clean, biphasic neuronal spikes with morphology and amplitude closely matching Cluster 1. The merged ISI histogram shows a modest (~3%) level of refractory violations without a severe peak at very short intervals, suggesting they most likely represent the same unit. Therefore, merging Cluster 70 into Cluster 1 is appropriate.",Phase2
DISCARD,115,VLM: No compatible merge target (all returned NOT_MERGE),Phase2
DISCARD,107,VLM: No compatible merge target (all returned NOT_MERGE),Phase2
DISCARD,124,VLM: No compatible merge target (all returned NOT_MERGE),Phase2
